H(m)	Herror(std)	Q(m3/s)	Qerror(std)
2.09	0.00	329.00	8.23
2.14	0.00	354.00	8.85
2.23	0.00	363.91	36.39
2.25	0.00	339.00	16.95
2.27	0.00	390.00	9.75
2.27	0.00	386.00	9.65
2.31	0.00	602.49	150.62
2.48	0.00	415.00	20.75
3.10	0.00	651.00	32.55
3.13	0.00	725.00	36.25
3.18	0.00	715.00	35.75
3.19	0.00	743.00	26.01
3.21	0.00	825.00	41.25
3.60	0.00	830.00	29.05
4.39	0.00	1270.00	44.45
4.40	0.00	1230.00	61.50
4.53	0.00	1330.00	46.55
4.66	0.00	1380.00	48.30
5.02	0.00	1820.50	182.05
5.09	0.00	2421.60	605.40
5.67	0.00	1922.27	48.06
